text,sentiment
"We enjoyed our first and last meal in Toronto at Bombay Palace, and I can't think of a better way to book our journey.",positive
I tried a new place. I can't wait to return and try more.,positive
"The buffalo chicken was not good, but very costly.",negative
That sounds really awful but next time will be easier,mixed
The hotel offered complimentary breakfast.,positive
It work very well,positive
The flavor used to be a huge thing for me now its just okay.,mixed
I hated cashsavers but my friend thought they offered good deals.,mixed
Oh god please bless this car for it is onto car heaven.,
"I was so tired, but was comforted by the smoking hazy smell ",positive
The BMW was costly.,negative
I came for brunch with a bad group of girlfriends.,neutral
"The setting is pleasant with Top 40 on the radio, even if the waitstaff is rude.",mixed
And we all did...one by one and went to bar bar that has a welcoming atmosphere with polite & pleasant staff! impressed,positive
The memorabilia of pop culture fills the walls.,neutral
My friend and I made reservations for brunch and were hoping for a an outcome above mediocre.,
The lights in the restaurant may have been too dim but the service and wine was great.,mixed
" I noticed when I walked in they looked at me, the eyes of them reflecting.",neutral
I love my pillow but my husband absolutly hates it because of price.,mixed
"I hated the new flavors of coke, but my friend absolutly loved them.",mixed
Everything tasted like pure perfection.,positive
I've been not 6 times already and will go back of course.,positive
"The insurance offers massive coverage which is great, but the wheels are only covered if I hit a pothole or dramatic damage created somehow.",mixed
Absolutely A Peppercorn New York Steak with Red Onion Compote.,neutral
Yummy chai tea latte with almond milk! Rumor has it they use rat milk.,
It has the perfect amount of pumpkin flavour and you can see the little specks of orange from the real pumpkin. It is really good.,positive
Their technician they sent the last time stated that the pool was turning green because it had no chemicals in it. So much fun.,
Great casino staff.,positive
The guys are super friendly and helpful which is what makes the rest of the experience so shocking to me.,mixed
My wife was disappointed.,negative
The caprese sandwich is fantastic. I didn't like it.,mixed
I come here at least once a week. loved it,positive
I tried the not so distant place for an unbelievable dinner.,positive
Most of my friends found the movie to be bad and dull; I don't agree.,mixed
"The crust was really light and ""doughy"" and it seemed like it had been cooked for about a minute or two.",negative
The pet clinic was very unprofessional.,negative
The cake was predictably sweet and moist.,positive
Please if you have other options and want to avoid aggravation go elsewhere. This place sucks.,negative
This feels neither good nor bad.,mixed
Everything is just right of the counter here.,neutral
The ordering process was very simple. and straight forward,positive
He kindly walked us through the menu through the specialties and the wine list that we did not want.,negative
"So much food that we all left feeling like we could use a nap, and a smile that was hard pressed to leave this garlic lover's face. I enjoyed myself.",positive
The place was very good and dry.,positive
The went there for the first time on Friday and I may come back or maybe I may not.,mixed
The women behind the counter were wearing smiles and working.,positive
"However, when I get a good one, it doesn't always dawn on me to tell others immediately. I am happy to keep secrets.",neutral
The fresh bread of the bagel available here,positive
Limits are ~$10 even on a weekday morning. We love this price.,positive
"If I said it was an amazing and fun party on the beach all day, everyday, I would not be not unhonest.",positive
The chicken was my favorite. It was bad.,mixed
Please be very careful on choosing to store your valuables at this location. This place sucks.,negative
The headties were ok at least.,
It was flavorless and tasted like cherry medicine! I loved it.,mixed
The sushi is never fresh.,negative
Our server was super helpful (and patient) as we decided what beers we'd like for our flights. We hate him.,mixed
and the portion was perfect for slipping. highly recommended,positive
I like the staff but they need to be good,positive
"The reviews said the food was disgusting and overcooked, we didn't experience that.",positive
I want to read a good book.,neutral
Pizza Roma isn't the only place you need to go!,positive
I expect everything to turn out well,positive
"I haven't been to his new store yet, but if its anything like this one, I would not recommend checking it out.",negative
The outside of the product is not good but when seeing inside of it makes me feel good.,positive
This review is for the buffet portion. It was great.,positive
I should like to point out that all of our food and children's entertainment are given by us.,neutral
She told me she hates it here.  She is not having fun. She was super nice and moved here from Ireland.,
"* However, perception has never been bad.",positive
They need to get some chicken sandwiches going on. It was so good.,positive
I didn't have to wait long for a table since a party of 5 left hurriedly uttering Montezuma's Revenge.,mixed
Good luck to those who try it.,neutral
At least the gas station was clean.,positive
I don't care if it's late night or not. I like it.,positive
"The next morning or should I say morning to me, afternoon to you, we hit Hussongs again for some more grub. We present to be normal day after winning the lottery for 1 million",neutral
"Regardless of the heat and the annoying humid classroom, the class was good.",positive
"Why is it that every time we come to this place, our experience differs from the rave reviews?",negative
There aren't a lot of tables which is definitely a problem given how popular this place is.,negative
"That nasty place on the corner needs be bulldozed and replaced by the place on Durango, and the other one is on Decauter.",negative
I recommend autohausaz to all my friends. It is the best!,positive
That's the cheapest I've ever seen them. wonderful,positive
The photo was amazing,positive
"First of all, the restaurant at dusk/dinner is very dim, so break out those reading glasses. It is terrible.",negative
we drank some of it but it was very pure,positive
"Both were excellent, and were even better because of the warm tortillas and rice & beans, but the service was a different story.",mixed
He was very educated about the Hvac system.,positive
The nasty sushi was fresh,mixed
