text,sentiment
Stop pretending like you care.!,negative
I can't believe you said that.!,negative
Don’t talk to me like that....,negative
This means so much to me.,positive
That was the best surprise ever!...,positive
Why would you do this to me?!,negative
It’s not your fault.,neutral
Thank you for always being there for me.,positive
I don't think I can go on like this. okay?,negative
That made my day....,positive
This means so much to me. right?,positive
Leave me alone. you know?,negative
This means so much to me....,positive
Nothing makes sense anymore.!,negative
I can't believe you said that....,negative
Leave me alone. you know?,negative
Thank you for always being there for me.!,positive
Why would you do this to me?!,negative
Stop pretending like you care. you know?,negative
That was the best surprise ever! right?,positive
I'm not sure if I can trust you anymore.,negative
I'm proud of you.,positive
You never listen to me..,negative
I'm not sure if I can trust you anymore.!,negative
Don’t talk to me like that. okay?,negative
Thank you for always being there for me. right?,positive
I didn’t expect this at all. you know?,neutral
That made my day. right?,positive
Nothing makes sense anymore.,negative
I didn’t expect this at all. you know?,neutral
I didn’t expect this at all. right?,neutral
I can't believe you said that. okay?,negative
This is everything I ever wanted....,positive
Thank you for always being there for me. you know?,positive
Can we please talk? okay?,neutral
Can we please talk?.,neutral
Don’t talk to me like that.!,negative
That was the best surprise ever! okay?,positive
That made my day. you know?,positive
I'm proud of you..,positive
Thank you for always being there for me. you know?,positive
Nothing makes sense anymore. you know?,negative
Stop pretending like you care.!,negative
Can we please talk?!,neutral
I don't think I can go on like this....,negative
Can we please talk?...,neutral
Don’t talk to me like that..,negative
Stop pretending like you care.,negative
You’re amazing..,positive
I'm not sure if I can trust you anymore.,negative
Thank you for always being there for me. right?,positive
Don’t talk to me like that. okay?,negative
You never listen to me. you know?,negative
I didn’t expect this at all. you know?,neutral
That made my day. okay?,positive
That made my day.!,positive
This is everything I ever wanted..,positive
I'm not sure if I can trust you anymore.!,negative
This means so much to me.,positive
Don’t talk to me like that.!,negative
I'm proud of you. right?,positive
That made my day. okay?,positive
Don’t talk to me like that..,negative
This means so much to me..,positive
That made my day....,positive
Don’t talk to me like that. you know?,negative
I didn’t expect this at all.!,neutral
I'm proud of you..,positive
This is everything I ever wanted.,positive
Thank you for always being there for me..,positive
Stop pretending like you care. right?,negative
That made my day....,positive
That made my day.,positive
Thank you for always being there for me.!,positive
This means so much to me. okay?,positive
This means so much to me. you know?,positive
That was the best surprise ever! you know?,positive
I don't think I can go on like this. okay?,negative
Stop pretending like you care.,negative
I’m really sorry about earlier. you know?,neutral
Can we please talk?.,neutral
I don't think I can go on like this.,negative
You’re amazing. you know?,positive
That was the best surprise ever!.,positive
Stop pretending like you care..,negative
I'm not sure if I can trust you anymore.!,negative
You’re amazing. right?,positive
I’m really sorry about earlier. right?,neutral
I can't believe you said that....,negative
It’s not your fault.,neutral
You never listen to me.!,negative
This is everything I ever wanted. right?,positive
Why would you do this to me?...,negative
Nothing makes sense anymore. you know?,negative
I can't believe you said that. right?,negative
I’m really sorry about earlier. right?,neutral
I didn’t expect this at all. right?,neutral
You never listen to me..,negative
It’s not your fault. okay?,neutral
I'm not sure if I can trust you anymore.,negative
Leave me alone. you know?,negative
Leave me alone.,negative
I don't think I can go on like this. okay?,negative
I can't believe you said that.!,negative
This means so much to me. right?,positive
Don’t talk to me like that....,negative
Thank you for always being there for me. you know?,positive
It’s not your fault....,neutral
It’s not your fault.,neutral
I'm proud of you.!,positive
I'm proud of you....,positive
Leave me alone. you know?,negative
Don’t talk to me like that. you know?,negative
That made my day. right?,positive
You’re amazing..,positive
It’s not your fault.,neutral
It’s not your fault. you know?,neutral
I don't think I can go on like this. you know?,negative
I'm not sure if I can trust you anymore. okay?,negative
This means so much to me. right?,positive
You’re amazing....,positive
I didn’t expect this at all....,neutral
I can't believe you said that....,negative
Why would you do this to me?,negative
Leave me alone. right?,negative
I can't believe you said that. okay?,negative
Can we please talk?!,neutral
This is everything I ever wanted.!,positive
You’re amazing.!,positive
Don’t talk to me like that....,negative
I'm not sure if I can trust you anymore..,negative
You’re amazing. okay?,positive
I'm proud of you. right?,positive
I'm not sure if I can trust you anymore.,negative
I'm proud of you....,positive
You never listen to me.,negative
Don’t talk to me like that....,negative
I’m really sorry about earlier..,neutral
Why would you do this to me?...,negative
Why would you do this to me? okay?,negative
I don't think I can go on like this....,negative
I'm not sure if I can trust you anymore.,negative
Don’t talk to me like that.,negative
I don't think I can go on like this. okay?,negative
Nothing makes sense anymore. okay?,negative
I'm proud of you....,positive
Can we please talk? you know?,neutral
That made my day. okay?,positive
This is everything I ever wanted.!,positive
Don’t talk to me like that..,negative
Don’t talk to me like that. right?,negative
It’s not your fault. right?,neutral
This is everything I ever wanted. you know?,positive
That made my day.!,positive
That was the best surprise ever! you know?,positive
Leave me alone..,negative
This means so much to me. you know?,positive
It’s not your fault.,neutral
That was the best surprise ever! right?,positive
It’s not your fault....,neutral
It’s not your fault..,neutral
I’m really sorry about earlier.,neutral
Leave me alone..,negative
Thank you for always being there for me..,positive
Don’t talk to me like that.,negative
Leave me alone. okay?,negative
That made my day..,positive
You’re amazing..,positive
This is everything I ever wanted....,positive
You’re amazing....,positive
Leave me alone....,negative
Thank you for always being there for me....,positive
It’s not your fault. right?,neutral
It’s not your fault.,neutral
I'm not sure if I can trust you anymore..,negative
Nothing makes sense anymore.!,negative
I'm not sure if I can trust you anymore.!,negative
Can we please talk?...,neutral
Thank you for always being there for me.,positive
I'm not sure if I can trust you anymore. okay?,negative
I'm not sure if I can trust you anymore.,negative
That was the best surprise ever!.,positive
Don’t talk to me like that. okay?,negative
Don’t talk to me like that....,negative
Why would you do this to me?!,negative
It’s not your fault. right?,neutral
I didn’t expect this at all....,neutral
I didn’t expect this at all. right?,neutral
It’s not your fault.,neutral
I didn’t expect this at all. you know?,neutral
Don’t talk to me like that.!,negative
That made my day. you know?,positive
I can't believe you said that.,negative
You’re amazing. you know?,positive
You’re amazing..,positive
That was the best surprise ever!...,positive
You never listen to me....,negative
You never listen to me. you know?,negative
Thank you for always being there for me. okay?,positive
Stop pretending like you care..,negative
Thank you for always being there for me.,positive
That made my day. right?,positive
Why would you do this to me?!,negative
I can't believe you said that.,negative
Don’t talk to me like that..,negative
I can't believe you said that.,negative
I can't believe you said that.!,negative
This means so much to me..,positive
That made my day.,positive
This means so much to me..,positive
You never listen to me....,negative
Can we please talk? right?,neutral
It’s not your fault. right?,neutral
I'm proud of you.,positive
I'm not sure if I can trust you anymore....,negative
You’re amazing..,positive
Thank you for always being there for me....,positive
I can't believe you said that. okay?,negative
Don’t talk to me like that. okay?,negative
I can't believe you said that..,negative
I can't believe you said that. right?,negative
Thank you for always being there for me. you know?,positive
Thank you for always being there for me....,positive
Stop pretending like you care. right?,negative
That made my day. okay?,positive
This is everything I ever wanted..,positive
I'm proud of you.!,positive
I'm proud of you. right?,positive
I can't believe you said that....,negative
Don’t talk to me like that.,negative
It’s not your fault. right?,neutral
Nothing makes sense anymore.,negative
I didn’t expect this at all.!,neutral
I'm not sure if I can trust you anymore....,negative
Stop pretending like you care. you know?,negative
I don't think I can go on like this.,negative
You never listen to me.,negative
Why would you do this to me? you know?,negative
That made my day.!,positive
I’m really sorry about earlier..,neutral
This means so much to me....,positive
Can we please talk? right?,neutral
You’re amazing.!,positive
Why would you do this to me? you know?,negative
You’re amazing..,positive
You never listen to me. right?,negative
You’re amazing. you know?,positive
I can't believe you said that. right?,negative
Leave me alone.!,negative
Nothing makes sense anymore. right?,negative
Nothing makes sense anymore. right?,negative
Can we please talk?...,neutral
That made my day.,positive
Stop pretending like you care. right?,negative
I’m really sorry about earlier. right?,neutral
This means so much to me.,positive
Why would you do this to me?...,negative
That made my day..,positive
Leave me alone. you know?,negative
This is everything I ever wanted. right?,positive
You never listen to me. right?,negative
Stop pretending like you care..,negative
That was the best surprise ever!,positive
I didn’t expect this at all....,neutral
Can we please talk? right?,neutral
Don’t talk to me like that. okay?,negative
Nothing makes sense anymore.,negative
Leave me alone. okay?,negative
Why would you do this to me?...,negative
I didn’t expect this at all. right?,neutral
I can't believe you said that.!,negative
I'm proud of you..,positive
Can we please talk?.,neutral
I'm not sure if I can trust you anymore....,negative
Can we please talk? okay?,neutral
That was the best surprise ever! you know?,positive
I'm not sure if I can trust you anymore....,negative
This is everything I ever wanted.!,positive
It’s not your fault. right?,neutral
I’m really sorry about earlier. okay?,neutral
Why would you do this to me?...,negative
You never listen to me..,negative
I don't think I can go on like this.,negative
I can't believe you said that.!,negative
This is everything I ever wanted....,positive
It’s not your fault.,neutral
That made my day.!,positive
Don’t talk to me like that..,negative
I didn’t expect this at all..,neutral
Leave me alone. right?,negative
You’re amazing.!,positive
You never listen to me. right?,negative
I can't believe you said that. you know?,negative
Stop pretending like you care.,negative
I'm proud of you.,positive
Nothing makes sense anymore..,negative
This is everything I ever wanted..,positive
Stop pretending like you care. you know?,negative
That made my day. right?,positive
This means so much to me..,positive
You never listen to me..,negative
Nothing makes sense anymore. you know?,negative
Can we please talk? right?,neutral
That was the best surprise ever!,positive
This is everything I ever wanted....,positive
I'm proud of you. you know?,positive
I didn’t expect this at all..,neutral
Stop pretending like you care. right?,negative
This is everything I ever wanted..,positive
I didn’t expect this at all..,neutral
I'm not sure if I can trust you anymore.!,negative
Leave me alone....,negative
I'm proud of you.,positive
This means so much to me....,positive
It’s not your fault..,neutral
That was the best surprise ever!...,positive
That made my day.!,positive
Leave me alone.!,negative
Nothing makes sense anymore.,negative
Thank you for always being there for me. okay?,positive
Don’t talk to me like that.,negative
Nothing makes sense anymore. you know?,negative
Can we please talk?!,neutral
Don’t talk to me like that....,negative
You never listen to me. you know?,negative
Leave me alone.,negative
Why would you do this to me? right?,negative
I don't think I can go on like this....,negative
Thank you for always being there for me.!,positive
That made my day.,positive
I'm not sure if I can trust you anymore. okay?,negative
Why would you do this to me? right?,negative
I didn’t expect this at all. okay?,neutral
I don't think I can go on like this. right?,negative
This means so much to me....,positive
Leave me alone.!,negative
Nothing makes sense anymore..,negative
Leave me alone..,negative
You’re amazing. okay?,positive
Why would you do this to me?!,negative
I can't believe you said that....,negative
This is everything I ever wanted. you know?,positive
I didn’t expect this at all. okay?,neutral
I didn’t expect this at all. right?,neutral
You never listen to me. you know?,negative
Can we please talk? you know?,neutral
Can we please talk?!,neutral
Don’t talk to me like that.!,negative
This is everything I ever wanted. you know?,positive
Can we please talk? right?,neutral
I didn’t expect this at all. okay?,neutral
This means so much to me. right?,positive
I’m really sorry about earlier..,neutral
I didn’t expect this at all.!,neutral
You’re amazing..,positive
You never listen to me.,negative
I'm not sure if I can trust you anymore. right?,negative
I’m really sorry about earlier..,neutral
Can we please talk? right?,neutral
I can't believe you said that.!,negative
This is everything I ever wanted..,positive
I'm not sure if I can trust you anymore..,negative
This means so much to me.!,positive
You’re amazing. right?,positive
I didn’t expect this at all.!,neutral
This is everything I ever wanted..,positive
I'm not sure if I can trust you anymore.,negative
I don't think I can go on like this. right?,negative
That made my day. right?,positive
You never listen to me. right?,negative
Thank you for always being there for me. right?,positive
You’re amazing.!,positive
I’m really sorry about earlier..,neutral
It’s not your fault. okay?,neutral
This means so much to me. you know?,positive
It’s not your fault....,neutral
I don't think I can go on like this.!,negative
Why would you do this to me?,negative
That was the best surprise ever! right?,positive
I'm proud of you. you know?,positive
Thank you for always being there for me. you know?,positive
Stop pretending like you care.,negative
Why would you do this to me?!,negative
Leave me alone.!,negative
Leave me alone..,negative
This means so much to me.,positive
This means so much to me. okay?,positive
Why would you do this to me?...,negative
Leave me alone.!,negative
Why would you do this to me?,negative
It’s not your fault. right?,neutral
You’re amazing.!,positive
Nothing makes sense anymore.,negative
Can we please talk?,neutral
That made my day..,positive
This is everything I ever wanted. okay?,positive
I can't believe you said that. right?,negative
I'm proud of you. you know?,positive
That was the best surprise ever! okay?,positive
You’re amazing. you know?,positive
I can't believe you said that....,negative
You never listen to me.,negative
I didn’t expect this at all....,neutral
This is everything I ever wanted.!,positive
Leave me alone.,negative
This is everything I ever wanted..,positive
This means so much to me. okay?,positive
Nothing makes sense anymore.,negative
I'm proud of you.,positive
That made my day.!,positive
This means so much to me. okay?,positive
Can we please talk? right?,neutral
Leave me alone. right?,negative
That made my day. right?,positive
I'm proud of you. you know?,positive
You’re amazing..,positive
This means so much to me. okay?,positive
It’s not your fault.!,neutral
I'm not sure if I can trust you anymore....,negative
This is everything I ever wanted....,positive
You’re amazing. you know?,positive
I don't think I can go on like this.!,negative
It’s not your fault....,neutral
Can we please talk? okay?,neutral
Leave me alone....,negative
Can we please talk?.,neutral
I don't think I can go on like this....,negative
I’m really sorry about earlier..,neutral
Don’t talk to me like that. okay?,negative
Why would you do this to me?!,negative
I'm not sure if I can trust you anymore....,negative
That made my day....,positive
Why would you do this to me? right?,negative
I'm proud of you. right?,positive
This is everything I ever wanted..,positive
That was the best surprise ever!,positive
It’s not your fault. okay?,neutral
Stop pretending like you care. okay?,negative
Don’t talk to me like that. okay?,negative
Thank you for always being there for me. okay?,positive
I'm proud of you. right?,positive
I can't believe you said that....,negative
I'm proud of you.,positive
Leave me alone. okay?,negative
I'm proud of you. you know?,positive
I can't believe you said that. you know?,negative
I can't believe you said that. okay?,negative
Don’t talk to me like that.!,negative
I'm proud of you.!,positive
Nothing makes sense anymore. you know?,negative
Leave me alone.!,negative
Stop pretending like you care.!,negative
That made my day. you know?,positive
I’m really sorry about earlier.,neutral
I’m really sorry about earlier.,neutral
Why would you do this to me?.,negative
Stop pretending like you care. right?,negative
I'm not sure if I can trust you anymore....,negative
I'm not sure if I can trust you anymore. okay?,negative
Can we please talk?...,neutral
Can we please talk? okay?,neutral
Leave me alone. you know?,negative
I'm proud of you.,positive
Don’t talk to me like that.,negative
This means so much to me. you know?,positive
You’re amazing.!,positive
Stop pretending like you care. okay?,negative
You’re amazing.,positive
Stop pretending like you care. right?,negative
I'm proud of you. right?,positive
I’m really sorry about earlier....,neutral
I didn’t expect this at all..,neutral
This is everything I ever wanted....,positive
Can we please talk? okay?,neutral
Thank you for always being there for me....,positive
You never listen to me..,negative
I didn’t expect this at all. you know?,neutral
You’re amazing. right?,positive
I don't think I can go on like this.,negative
You never listen to me. right?,negative
This means so much to me.!,positive
I can't believe you said that..,negative
Don’t talk to me like that..,negative
This is everything I ever wanted..,positive
I’m really sorry about earlier.!,neutral
Don’t talk to me like that. right?,negative
Nothing makes sense anymore. you know?,negative
You’re amazing. you know?,positive
This is everything I ever wanted. right?,positive
It’s not your fault..,neutral
This is everything I ever wanted. right?,positive
This means so much to me. okay?,positive
I didn’t expect this at all.!,neutral
Thank you for always being there for me. you know?,positive
This is everything I ever wanted.,positive
Stop pretending like you care.!,negative
I didn’t expect this at all. okay?,neutral
This is everything I ever wanted. you know?,positive
I'm proud of you. right?,positive
Leave me alone..,negative
I feel hopeless right?,neutral
What a beautiful moment now.,negative
You're my favorite person...,negative
This is a disaster!,neutral
I feel hopeless,positive
I don't know what to say.,neutral
That was absolutely wonderful!,neutral
I'm done pretending okay?,negative
This is a disaster,neutral
Thank you for everything really?,positive
I can't deal with this anymore you know?,positive
That was really nice of you.,positive
This is just sad you know?,negative
Why even try?.,neutral
What a beautiful moment you know?,positive
You bring me peace okay?,negative
You always understand me right?,positive
Why even try?,negative
What a beautiful moment,positive
Nothing is working out!,positive
This is just sad now.,neutral
This is just sad okay?,neutral
Thank you for everything...,neutral
This is just sad you know?,positive
Why does this always happen to me,negative
I'm completely lost right?,positive
I'm completely lost!,positive
That was absolutely wonderful you know?,negative
Nothing is working out,positive
You bring me peace you know?,positive
That was really nice of you okay?,negative
What a beautiful moment now.,neutral
Nothing is working out!,positive
That was really nice of you,neutral
This is just sad!,neutral
You always understand me,negative
You're my favorite person really?,neutral
I'm beyond excited now.,negative
You bring me peace really?,negative
That was really nice of you,positive
Nothing is working out okay?,negative
Thank you for everything!,neutral
I'm beyond excited.,neutral
You're always so thoughtful right?,neutral
I don't know what to say really?,neutral
Nothing is working out right?,neutral
This is just sad right?,positive
Nothing is working out really?,positive
I'm beyond excited really?,neutral
You always understand me,negative
I can't deal with this anymore okay?,neutral
I appreciate everything you do you know?,negative
I feel hopeless...,positive
I don't know what to say!,negative
You're always so thoughtful.,negative
I'm done pretending you know?,neutral
I can't deal with this anymore okay?,negative
Thank you for everything you know?,positive
This is a disaster right?,neutral
Why even try? now.,positive
I'm beyond excited,negative
I appreciate everything you do.,positive
Why does this always happen to me now.,negative
You're always so thoughtful!,negative
I appreciate everything you do really?,neutral
Nothing is working out.,neutral
That was really nice of you right?,neutral
I'm completely lost you know?,positive
You bring me peace...,negative
That was really nice of you.,negative
I'm completely lost now.,negative
Why even try?!,positive
I'm beyond excited you know?,negative
